0827229534:156101074X,1 1:0.166666666667 2:4.75
0827229534:0687023955,1 1:0.111111111111 2:4.75
0827229534:0687074231,1 1:0.0 2:5.0
0827229534:082721619X,1 1:0.0 2:4.0
1567184960:0738700797,1 1:0.0 2:4.0
0738700797:1567182836,1 1:0.0 2:4.0
0738700797:0738700525,1 1:0.0 2:4.5
0738700797:0738700940,1 1:0.0 2:4.5
0842330313:0842328327,1 1:0.153846153846 2:2.0
0842328327:0842328610,1 1:0.222222222222 2:4.5
0842328572:0842328327,1 1:0.153846153846 2:2.0
0486220125:0452283612,1 1:0.0 2:4.25
0486229076:0486220125,1 1:0.0 2:3.75
0714840343:0486220125,1 1:0.0 2:4.0
0375727191:0231118597,1 1:0.0 2:4.75
080148605X:0231118597,1 1:0.0 2:2.25
1560232579:0231118597,1 1:0.0 2:4.25
0231118597:0300089023,1 1:0.0 2:4.5
0892749504:1577943082,1 1:0.4 2:2.25
1577941829:1577943082,1 1:0.416666666667 2:0.0
1577943082:0892749563,1 1:0.416666666667 2:2.5
B000066ALW:B00006JXZO,1 1:0.0 2:4.75
0375709363:0679730672,1 1:0.0 2:4.0
0679750541:0375709363,1 1:0.0 2:3.75
0375709363:1400030668,1 1:0.0 2:4.0
0375709363:0896086704,1 1:0.0 2:4.5
0060984341:0871318237,1 1:0.0 2:4.5
0553577514:0871318237,1 1:0.333333333333 2:4.75
1571742972:0871318237,1 1:0.0 2:4.25
0962741817:0871318237,1 1:0.0 2:4.75
014015941X:1563524333,1 1:0.0 2:5.0
0195110382:0140246967,1 1:0.0 2:4.5
0195110382:1557504288,1 1:0.0 2:4.5
1580531784:0849311012,1 1:0.3 2:4.25
1578200326:0849311012,1 1:0.166666666667 2:3.0
078510870X:078511078X,1 1:0.0 2:3.5
B00000JQIE:B000007R0T,1 1:0.0 2:5.0
B000007R0T:B000002L7F,1 1:0.0 2:5.0
0790747324:6305350221,1 1:0.125 2:4.25
B00004RF9B:0790747324,1 1:0.0 2:4.5
B00005JKFR:0790747324,1 1:0.111111111111 2:4.5
B00005NG6A:0790747324,1 1:0.0 2:4.25
B000002GVS:B000007R0S,1 1:0.0 2:4.5
B00000I21X:B000007R0S,1 1:0.272727272727 2:4.5
B000007R0S:B000002GXJ,1 1:0.0 2:4.25
B000007R0S:B000002GVO,1 1:0.0 2:4.5
0674106539:0939165252,1 1:0.0 2:4.25
0231096704:0140172483,1 1:0.0 2:3.75
0375707409:0231096704,1 1:0.0 2:3.5
0231096704:0520078748,1 1:0.1 2:3.0
0899192254:1590930509,1 1:0.0 2:4.0
1590930509:0688070450,1 1:0.5 2:3.5
1590930509:0899193498,1 1:0.166666666667 2:4.5
1590930509:1577683684,1 1:0.0 2:2.0
1893732398:1893732290,1 1:0.2 2:2.5
0609805797:1893732290,1 1:0.0769230769231 2:2.5
0323016774:0781718791,1 1:0.230769230769 2:2.5
0781735114:0781718791,1 1:0.0 2:1.75
0721680178:0781718791,1 1:0.0 2:0.0
0824803248:0910240159,1 1:0.0588235294118 2:4.75
0824807030:0910240159,1 1:0.1 2:4.75
1558743626:0910240159,1 1:0.0 2:5.0
0393020436:0761116982,1 1:0.0 2:4.5
0761116982:0767903609,1 1:0.0 2:4.75
0761116982:0312290233,1 1:0.0 2:2.25
0761116982:0471287857,1 1:0.0 2:4.75
061329968X:0399232486,1 1:0.1 2:4.75
0399235892:061329968X,1 1:0.125 2:4.25
0399239618:061329968X,1 1:0.0 2:4.25
013061081X:0471150274,1 1:0.0 2:0.0
0471150274:1852331666,1 1:0.0 2:1.5
0070121893:0471150274,1 1:0.0 2:1.5
0895872218:0767908090,1 1:0.0 2:4.25
0439240751:0439240727,1 1:0.0 2:4.75
0439240751:0439240719,1 1:0.0 2:4.75
0439240751:0439240700,1 1:0.0909090909091 2:4.75
0439240751:0061062499,1 1:0.0 2:5.0
0071364315:0787950599,1 1:0.0 2:4.5
0787950599:014028852X,1 1:0.0 2:4.5
1402200552:0787950599,1 1:0.0 2:4.5
0787950599:078795019X,1 1:0.0 2:4.75
0876149050:0698115538,1 1:0.0 2:4.0
0876149050:1575055333,1 1:0.0 2:2.5
0312199406:0312316089,1 1:0.0 2:3.75
0312099436:0312199406,1 1:0.125 2:3.75
0312199406:0312144075,1 1:0.0 2:4.0
0446674346:0312199406,1 1:0.0 2:3.75
